id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek,rank
a6866135-f25d-46ad-907f-3808c05ec4e1,DK,Metcalf,49.3,167,WR27,WR,Seattle Seahawks,,,49.3
85c0cd6e-1ee1-45c8-a868-ac7b50bb3073,Joe,Burrow,49.7,338,QB5,QB,Cincinnati Bengals,,,49.7
cf06e2d8-1f9e-45c6-8cbf-1d38533ba4b9,Davante,Adams,50.7,147,WR28,WR,NY Jets,,,50.7
a030ed9a-08d1-4ef7-b358-d1556fb30f54,George,Kittle,52,194,TE3,TE,San Francisco 49ers,,,52
63c6cf16-3227-4521-b31b-e5002caf0df6,Jordan,Addison,53,172,WR29,WR,Minnesota Vikings,,,53
990842c4-5816-4275-8119-d509b88b49e1,Jaylen,Waddle,54.8,161,WR30,WR,Miami Dolphins,,,54.8
b67a4833-07b5-421d-b0cb-7910b6a64971,Chris,Olave,55,149,WR31,WR,New Orleans Saints,,,55
be773d8d-de4e-41c7-a158-6d76c39a408e,Alvin,Kamara,56.1,194,RB17,RB,New Orleans Saints,,,56.1
56b0248e-e904-423f-8f99-6aee4f69d278,George,Pickens,57.4,181,WR32,WR,Pittsburgh Steelers,,,57.4
864c43ab-bf81-4416-b859-97ff128abd48,Kenneth,Walker III,57.7,166,RB18,RB,Seattle Seahawks,,,57.7
3d9e27d7-1841-4050-9089-3a04d824436e,Courtland,Sutton,58,158,WR33,WR,Denver Broncos,,,58
5a00d139-d838-4968-8555-bf0de26ad52f,Omarion,Hampton,58.7,212,RB19,RB,,,,58.7
89d6d0ec-ef39-46c1-a8a8-67ccbd0f41f0,Sam,LaPorta,62,178,TE4,TE,Detroit Lions,,,62
a75087fd-88e7-413d-a68f-80de36a73396,Jerry,Jeudy,62.5,177,WR34,WR,Cleveland Browns,,,62.5
392d2dbe-6b29-4d92-bc9f-4f4eead32fa4,Chris,Godwin,63.7,145,WR35,WR,Tampa Bay Buccaneers,,,63.7
411e1f87-ce77-4971-8fa5-0063cfac3bde,David,Montgomery,63.8,187,RB20,RB,Detroit Lions,,,63.8
6aed6fce-2c8f-4333-9eaf-0d60e4ce4693,Kaleb,Johnson,64.9,180,RB21,RB,,,,64.9
f7bdd2c5-f278-4e3d-aa6b-a7b353ee162f,TreVeyon,Henderson,66.3,178,RB22,RB,,,,66.3
14356936-9c58-4bc9-b7e5-777205654606,James,Conner,67.7,159,RB23,RB,Arizona Cardinals,,,67.7
492f46de-50a6-4b55-9ce1-ce0460934e33,Jayden,Reed,68.6,128,WR36,WR,Green Bay Packers,,,68.6
d8dedcee-12da-4022-9444-75c536c0bf2b,Luther,Burden III,70.4,148,WR37,WR,,,,70.4
a2424ad7-c533-4651-9f6c-00f12d7f65d0,Calvin,Ridley,71.7,143,WR38,WR,Tennessee Titans,,,71.7
2a35266f-07f5-460c-b6c8-726e172580cd,Tyrone,Tracy,71.8,132,RB24,RB,NY Giants,,,71.8
7d5dde42-87d2-45fd-80d1-042abc38887d,Deebo,Samuel,73.3,166,WR39,WR,San Francisco 49ers,,,73.3
643ba4f6-7c43-4d2b-94b9-0813355796ed,Patrick,Mahomes,73.3,324,QB6,QB,Kansas City Chiefs,,,73.3
0253f1ee-143e-4228-a4db-711fc352a589,Jauan,Jennings,75.1,128,WR40,WR,San Francisco 49ers,,,75.1
1e192b03-d2ba-45cb-96d4-f552cc90ec7c,Brandon,Aiyuk,75.1,121,WR41,WR,San Francisco 49ers,,,75.1
46f00a29-b7aa-4a69-9a3b-17851be394b8,Quinshon,Judkins,76,176,RB25,RB,,,,76
f5054107-d824-4233-9ac9-d03bca9eedf2,Emeka,Egbuka,77,136,WR42,WR,,,,77
22d3b32d-666a-4ca4-8a42-6d050c74bbff,Jalen,McMillan,78.1,118,WR43,WR,Tampa Bay Buccaneers,,,78.1
2ade451a-15d1-4dc9-8475-bd6ad4c29e8e,Khalil,Shakir,79.6,152,WR44,WR,Buffalo Bills,,,79.6
12bada1b-2f96-403d-998d-d7ab163406ff,T.J.,Hockenson,79.9,161,TE5,TE,Minnesota Vikings,,,79.9
49d2849a-6021-4604-b727-5d2ff305b003,Jakobi,Meyers,81,135,WR45,WR,Las Vegas Raiders,,,81
ff7564ba-7694-4071-9e6a-109200713006,Ricky,Pearsall,82,109,WR46,WR,San Francisco 49ers,,,82
d57f3b07-5708-4b18-bbcd-ed0c855198c7,Tony,Pollard,82.5,150,RB26,RB,Tennessee Titans,,,82.5
4927dfc6-5c37-46ef-9142-6dd33000b955,Jaylen,Warren,86.4,174,RB27,RB,Pittsburgh Steelers,,,86.4
4586fd49-9a86-4ed9-92c5-607d7c8ee3d0,Bo,Nix,86.7,315,QB7,QB,Denver Broncos,,,86.7
d2ae5a5b-0802-4bbd-bfeb-292b7c8ead21,Josh,Downs,87.4,119,WR47,WR,Indianapolis Colts,,,87.4
05af7b58-f898-47c6-94bb-1b20468dd7b2,Mark,Andrews,88.2,144,TE6,TE,Baltimore Ravens,,,88.2
d6274a4f-8f76-4cb6-8635-3c2170db7f33,Aaron,Jones,89.1,163,RB28,RB,Minnesota Vikings,,,89.1
229bb7b1-3886-4260-9f32-fa2c338a3f29,Baker,Mayfield,89.2,267,QB8,QB,Tampa Bay Buccaneers,,,89.2
10adb052-886b-4a8f-8f4e-db10cbf507c1,Isiah,Pacheco,91,204,RB29,RB,Kansas City Chiefs,,,91
4469f2c0-d1a4-4e94-bcc7-e5cb470381cd,Jonnu,Smith,93.4,138,TE7,TE,Miami Dolphins,,,93.4
71184e23-4ef5-4e1f-b4dc-23bf64e5f929,Matthew,Golden,93.5,115,WR48,WR,,,,93.5
367b5184-37e5-4b41-a028-3e7152c019ef,Jared,Goff,94.1,285,QB9,QB,Detroit Lions,,,94.1
